id,VMT,count,percentage,FIPS
0,Out of region,0,0,#N/A
498568,"1 (Tract 14, El Paso, TX)",7357.9,0.04,481410014001
498577,"4 (Tract 104.01, El Paso, TX)",25551.10004,0.15,481410104014
498581,"1 (Tract 20, El Paso, TX)",4370.100001,0.03,481410020001
500554,"1 (Tract 103.36, El Paso, TX)",77458.60002,0.45,481410103361
500605,"4 (Tract 43.11, El Paso, TX)",22515.79998,0.13,481410043114
500643,"1 (Tract 103.03, El Paso, TX)",34128.29999,0.2,481410103031
500654,"1 (Tract 104.05, El Paso, TX)",73765.40001,0.43,481410104051
501624,"1 (Tract 104.06, El Paso, TX)",42173.39986,0.25,481410104061
501625,"3 (Tract 1.11, El Paso, TX)",14893.79998,0.09,481410001113
502653,"6 (Tract 3.02, El Paso, TX)",13131.39996,0.08,481410003026
502689,"2 (Tract 34.04, El Paso, TX)",37682.40001,0.22,481410034042
503719,"6 (Tract 103.07, El Paso, TX)",35341.39997,0.21,481410103076
509320,"2 (Tract 102.03, El Paso, TX)",105926.2999,0.62,481410102032
509453,"2 (Tract 103.19, El Paso, TX)",10334.00002,0.06,481410103192
513280,"3 (Tract 104.01, El Paso, TX)",27928.6,0.16,481410104013
515422,"4 (Tract 10.01, El Paso, TX)",16572.50007,0.1,481410010014
515481,"2 (Tract 24, El Paso, TX)",8937.599989,0.05,481410024002
515527,"1 (Tract 102.21, El Paso, TX)",50073.20003,0.29,481410102211
515590,"1 (Tract 39.03, El Paso, TX)",21415.19994,0.13,481410039031
515672,"3 (Tract 103.47, El Paso, TX)",31318.5,0.18,481410103473
516831,"3 (Tract 1.12, El Paso, TX)",17874.3,0.1,481410001123
517026,"3 (Tract 11.09, El Paso, TX)",32449.89999,0.19,481410011093
517123,"4 (Tract 105.01, El Paso, TX)",45576.99994,0.27,481410105014
517408,"4 (Tract 22.02, El Paso, TX)",4294.699976,0.03,481410022024
517413,"4 (Tract 8, El Paso, TX)",10892.40001,0.06,481410008004
517532,"2 (Tract 11.13, El Paso, TX)",15273.29998,0.09,481410011132
518512,"4 (Tract 31, El Paso, TX)",12254.59999,0.07,481410031004
518526,"3 (Tract 103.38, El Paso, TX)",37494.40007,0.22,481410103383
