geo_name,NAME,land_area_sqft_single_family,land_area_sqft_multi_family,land_area_sqft_retail,land_area_sqft_office,land_area_sqft_non_retail_attraction,land_area_sqft_mixed_use,land_area_sqft_industrial,land_area_sqft_civic_institutional,land_area_sqft_transportation_utilities,land_area_sqft_open_space,land_area_sqft_agriculture,land_area_sqft_other,land_area_sqft_unknown
1.10,"Census Tract 1.10, El Paso County, Texas",5971509,1173209,1194821,379281,0,292510,0,1072553,130082,73406,0,6056,0
103.24,"Census Tract 103.24, El Paso County, Texas",14072364,190188,430506,61223,0,41914,1121180,1910702,518953,45991,0,934744,0
43.12,"Census Tract 43.12, El Paso County, Texas",9983077,1695473,9844841,567072,1293636,2627578,961528,461994,70571,586066,230324,49075,0
15.01,"Census Tract 15.01, El Paso County, Texas",30934406,903205,3151831,291337,105816,1001465,0,2221473,0,5967892,3603290,769091,0
41.04,"Census Tract 41.04, El Paso County, Texas",20756049,936877,4272165,210746,0,2191487,0,4135043,0,440922,2360708,1167225,0
30,"Census Tract 30, El Paso County, Texas",5154001,305330,6902866,32613,521441,48669,100082,3318024,130604,3610187,0,319445,0
103.12,"Census Tract 103.12, El Paso County, Texas",9332036,242467,326064,213384,29683,37330,0,1020776,900529,0,0,14226,0
11.13,"Census Tract 11.13, El Paso County, Texas",11517002,3316967,2998661,1385666,1019533,399913,94182,3607971,313871,591001,0,179794,0
11.07,"Census Tract 11.07, El Paso County, Texas",21229325,470609,2405575,579944,294393,941104,0,1093344,0,0,0,3494,0
18,"Census Tract 18, El Paso County, Texas",265257,262248,1736685,101617,0,39760,0,1403986,2542731,23123,300484,722868,0
43.19,"Census Tract 43.19, El Paso County, Texas",11507994,66039,1489215,170993,48522,60448,0,2961639,131926,0,0,126359,0
21,"Census Tract 21, El Paso County, Texas",660289,430817,7133862,761086,740912,387125,667140,1378133,39745,0,0,46947,0
103.07,"Census Tract 103.07, El Paso County, Texas",11884693,1881512,712012,347311,490154,14381,0,2788054,32473,1061515,0,0,0
42.01,"Census Tract 42.01, El Paso County, Texas",13139762,235745,1131400,63900,0,37405,0,435711,0,235851,0,1339,0
37.01,"Census Tract 37.01, El Paso County, Texas",10931767,421866,1917307,135467,68832,48337,169391,1111947,0,164524,0,1784621,0
103.17,"Census Tract 103.17, El Paso County, Texas",8586816,680705,828277,23616,0,17996,2392,0,17075,0,0,16480,0
103.36,"Census Tract 103.36, El Paso County, Texas",9416473,840308,4906325,1367275,2456863,251238,0,697076,0,534607,297029,1639598,0
103.31,"Census Tract 103.31, El Paso County, Texas",18625600,1058027,18166462,1351572,120629,2652838,0,6126986,866460,5708226,199212,9683536,0
39.01,"Census Tract 39.01, El Paso County, Texas",10203645,480068,2894924,80154,165505,106837,15557,2788027,138905,654170,172909,1809621,0
35.02,"Census Tract 35.02, El Paso County, Texas",12857050,1389543,3520142,482350,1074,267877,0,1842600,7072,104175,843004,1701508,0
31,"Census Tract 31, El Paso County, Texas",7391077,492865,1902395,401050,0,15206,0,2040157,2909,45743,0,12153,0
102.11,"Census Tract 102.11, El Paso County, Texas",8600060,285277,0,0,0,66399,0,294694686,28717317,480944438,0,0,0
1.09,"Census Tract 1.09, El Paso County, Texas",8310480,13094,0,0,0,12282,0,2030488,0,0,0,6891,0
34.04,"Census Tract 34.04, El Paso County, Texas",17535913,1763525,4808485,1395875,851800,6173519,0,2427729,282340,1080446,0,24174,0
4.01,"Census Tract 4.01, El Paso County, Texas",25425078,1519763,616427,102098,170687,299344,0,1627116,0,116560856,59084,8549763,0
11.12,"Census Tract 11.12, El Paso County, Texas",11578747,1400243,645311,250635,28089,27195,0,2046617,0,0,0,134357,0
33,"Census Tract 33, El Paso County, Texas",11781487,1160777,2134974,288000,122068,67860,0,434773,140171,236191,0,146761,0
11.15,"Census Tract 11.15, El Paso County, Texas",2969868,2247873,7184562,1499031,366167,767164,0,13166636,556544,0,4971,3245904,0
102.07,"Census Tract 102.07, El Paso County, Texas",75587092,1601401,48261605,56563,13179276,1653982,37924885,209200,72875275,59175482,101747425,82430844,0
103.11,"Census Tract 103.11, El Paso County, Texas",11063224,1607139,2235907,0,25326,177049,0,1177557,394277,0,0,942332,0
11.04,"Census Tract 11.04, El Paso County, Texas",17193743,4000904,8514019,3279814,727058,1308294,69058,2753922,119081,3211816,21613,4728652,0
12.01,"Census Tract 12.01, El Paso County, Texas",7331108,1281190,4104759,428401,2858209,540296,0,1290750,14528,139415,0,1742721,0
6,"Census Tract 6, El Paso County, Texas",8345787,974254,1518293,120643,176075,194742,0,1680702,12241,104060,0,655337,0
42.02,"Census Tract 42.02, El Paso County, Texas",9130333,1359624,4568998,193837,20077,846273,0,1233639,300865,786783,0,388376,0
