element_type,osmid,amenity,gnis:county_name,name,lon,lat
node,368160326,arts_centre,El Paso,Tigua Indian Reservation Cultural Center,-106.3272046,31.6912225
node,470062845,restaurant,,Casita Linda Mexican Restaurant,-106.4157283,31.8702598
node,763647389,fast_food,,Burger King,-106.4222321,31.904243
node,763647390,fast_food,,Little Caesars,-106.421948,31.9038425
node,763647391,restaurant,,Wingers Chicken Wings,-106.4220254,31.9039517
node,764457006,fast_food,,Papa John's,-106.4219573,31.9034465
node,1003253788,fast_food,,Hamburger Stand,-106.5002535,31.7740622
node,1010148082,cafe,,Starbucks,-106.440389,31.8997393
node,1013658195,cafe,,Starbucks,-106.4130119,31.7851998
node,1243936567,restaurant,,Souper Salad,-106.5516411,31.8350031
node,1337824842,restaurant,,Lucy's Restaurant,-106.508148,31.7913141
node,1337824849,bar,,The King's X,-106.5080701,31.7911939
node,1360486117,fast_food,,Subway,-106.2644181,31.7602845
node,1360503736,fast_food,,Jack in the Box,-106.2661068,31.7610036
node,1381799440,fuel,,,-106.559143,31.836899
node,1381837934,fuel,,,-106.331237,31.7447197
node,1381837936,fuel,,,-106.3651067,31.7641228
node,1381837938,fuel,,,-106.3922351,31.7819073
node,1381837951,fuel,,,-106.5414313,31.8521199
node,1501317175,restaurant,,Village Inn,-106.395176,31.788914
node,1550227194,restaurant,,San Isidro,-106.6115868,31.8477506
node,1550227300,restaurant,,Hello Pizza,-106.611501,31.8477506
node,1581543879,fast_food,,101 Pizza,-106.522847,31.823442
node,1595664034,bar,,The Lowbrow Palace,-106.5029512,31.7761133
node,1727047089,fast_food,,Chipotle,-106.504107,31.7789018
node,1727047136,fast_food,,Pizza Joint,-106.504195,31.7790065
node,1727047159,restaurant,,Peking Express,-106.5040222,31.7788001
node,1727047174,fast_food,,Wingstop,-106.504061,31.7788449
node,1728723018,restaurant,,Café Italia,-106.543177,31.8337758
node,1842137605,restaurant,,Pei Wei,-106.5652645,31.8391139
node,1853707293,fast_food,,Five Guys,-106.5405788,31.8205857
node,1929944268,restaurant,,Delicias Cafe,-106.5587955,31.8584909
node,1938901072,fast_food,,McDonald's,-106.5848064,31.9094147
node,1938901074,cafe,,Starbucks,-106.58389,31.9112861
node,2143191766,fast_food,,Papa John's,-106.50231,31.776534
node,2143191798,restaurant,,The Sushi Place,-106.5024187,31.7766325
node,2143191959,restaurant,,Pizza Hut,-106.584323,31.9110061
node,2143191960,fast_food,,WingStreet,-106.5844285,31.9109564
node,2203835391,fuel,,Valero,-106.3385797,31.7826847
node,2221456858,car_rental,,Hertz,-106.3967621,31.7990336
node,2221456869,car_rental,,Thrifty,-106.3965047,31.7990244
node,2221456877,car_rental,,Avis,-106.3966334,31.799029
node,2221473012,cafe,,Starbucks,-106.395933,31.7996171
node,2253399046,fast_food,,Church's Chicken,-106.5837274,31.8853449
node,2253399198,fuel,,Diamond Shamrock /Corner Store,-106.5569183,31.8128283
