WORKORDERID,ACTUALSTARTDATE,ACTUALFINISHDATE,UNITSACCOMP,WOXCOORDINATE,WOYCOORDINATE
431725,10/1/2013  12:00:00 AM,10/1/2013  12:00:00 AM,309,403033,10655815
431741,10/4/2013  12:00:00 AM,10/4/2013  12:00:00 AM,124,441213,10660395
431742,10/4/2013  12:00:00 AM,10/4/2013  12:00:00 AM,236,444233,10666007
431749,10/4/2013  12:00:00 AM,10/4/2013  12:00:00 AM,130,428572,10660979
431754,9/4/2013  12:00:00 AM,9/4/2013  12:00:00 AM,216,431240,10647080
431760,10/5/2013  12:00:00 AM,10/5/2013  12:00:00 AM,191,444503,10666250
431772,10/5/2013  12:00:00 AM,10/5/2013  12:00:00 AM,88,444503,10666250
431773,9/5/2013  12:00:00 AM,9/5/2013  12:00:00 AM,213,434307,10633183
431798,9/9/2013  12:00:00 AM,9/9/2013  12:00:00 AM,272,431007,10636879
431846,9/10/2013  12:00:00 AM,9/10/2013  12:00:00 AM,158,425539,10644556
431928,10/7/2013  12:00:00 AM,10/7/2013  12:00:00 AM,220,442783,10664642
431934,10/7/2013  12:00:00 AM,10/7/2013  12:00:00 AM,123,445011,10645967
431962,10/8/2013  12:00:00 AM,10/8/2013  12:00:00 AM,132,437306,10634946
432002,10/8/2013  12:00:00 AM,10/8/2013  12:00:00 AM,147,421212,10661498
432051,9/11/2013  12:00:00 AM,9/11/2013  12:00:00 AM,202,425007,10649718
432074,10/9/2013  12:00:00 AM,10/9/2013  12:00:00 AM,335,443693,10653788
432129,9/3/2013  12:00:00 AM,9/3/2013  12:00:00 AM,201,433356,10662323
436076,11/5/2013  12:00:00 AM,11/5/2013  12:00:00 AM,151,434898,10654413
436083,11/5/2013  12:00:00 AM,11/5/2013  12:00:00 AM,360,422727,10667708
436142,10/30/2013  12:00:00 AM,10/30/2013  12:00:00 AM,636,375191,10677102
436176,11/4/2013  12:00:00 AM,11/4/2013  12:00:00 AM,644,375725,10677152
436208,11/6/2013  12:00:00 AM,11/6/2013  12:00:00 AM,366,444141,10650115
436210,11/6/2013  12:00:00 AM,11/6/2013  12:00:00 AM,360,422727,10667708
436227,11/6/2013  12:00:00 AM,11/6/2013  12:00:00 AM,550,404929,10699550
436228,11/6/2013  12:00:00 AM,11/6/2013  12:00:00 AM,686,400689,10670704
436238,11/6/2013  12:00:00 AM,11/6/2013  12:00:00 AM,160,401806,10655885
436290,11/6/2013  12:00:00 AM,11/6/2013  12:00:00 AM,207,429049,10638493
436482,11/7/2013  12:00:00 AM,11/7/2013  12:00:00 AM,160,405324,10661532
436544,11/7/2013  12:00:00 AM,11/7/2013  12:00:00 AM,140,426769,10638627
440723,12/9/2013  12:00:00 AM,12/9/2013  12:00:00 AM,475,408119,10700628
440786,12/9/2013  12:00:00 AM,12/9/2013  12:00:00 AM,160,395368,10660317
440905,12/3/2013  12:00:00 AM,12/3/2013  12:00:00 AM,264,358279,10691827
440955,12/10/2013  12:00:00 AM,12/10/2013  12:00:00 AM,700,407374,10695849
440990,12/4/2013  12:00:00 AM,12/4/2013  12:00:00 AM,448,360249,10693072
441007,12/10/2013  12:00:00 AM,12/10/2013  12:00:00 AM,164,406222,10660559
441084,12/4/2013  12:00:00 AM,12/4/2013  12:00:00 AM,397,371283,10691708
441111,12/5/2013  12:00:00 AM,12/5/2013  12:00:00 AM,102,371155,10674896
441160,12/10/2013  12:00:00 AM,12/10/2013  12:00:00 AM,270,371168,10675326
441166,12/10/2013  12:00:00 AM,12/10/2013  12:00:00 AM,250,373670,10687654
441191,12/11/2013  12:00:00 AM,12/11/2013  12:00:00 AM,505,421062,10715418
441192,12/9/2013  12:00:00 AM,12/9/2013  12:00:00 AM,29,438451,10650981
441193,12/9/2013  12:00:00 AM,12/9/2013  12:00:00 AM,263,426930,10662562
441245,12/11/2013  12:00:00 AM,12/11/2013  12:00:00 AM,160,402867,10657120
441289,12/10/2013  12:00:00 AM,12/10/2013  12:00:00 AM,289,431347,10655998
442185,12/16/2013  12:00:00 AM,12/16/2013  12:00:00 AM,190,429897,10650335
445594,1/21/2014  12:00:00 AM,1/21/2014  12:00:00 AM,191,432760,10660597
445595,1/22/2014  12:00:00 AM,1/22/2014  12:00:00 AM,390,414381,10714852
445601,1/21/2014  12:00:00 AM,1/21/2014  12:00:00 AM,249,440643,10668020
445633,1/21/2014  12:00:00 AM,1/21/2014  12:00:00 AM,73,393221,10659149
445634,1/21/2014  12:00:00 AM,1/21/2014  12:00:00 AM,256,403152,10660822
445663,1/22/2014  12:00:00 AM,1/22/2014  12:00:00 AM,240,403250,10655835
445688,1/22/2014  12:00:00 AM,1/22/2014  12:00:00 AM,186,440121,10667921
445699,1/22/2014  12:00:00 AM,1/22/2014  12:00:00 AM,121,436936,10654178
445753,1/21/2014  12:00:00 AM,1/21/2014  12:00:00 AM,104,433764,10626760
445758,1/21/2014  12:00:00 AM,1/21/2014  12:00:00 AM,"1,200.00",435180,10640588
445790,1/21/2014  12:00:00 AM,1/21/2014  12:00:00 AM,197,370482,10673531
445811,1/22/2014  12:00:00 AM,1/22/2014  12:00:00 AM,326,368753,10684588
445839,1/22/2014  12:00:00 AM,1/22/2014  12:00:00 AM,"1,200.00",435180,10640588
445840,1/22/2014  12:00:00 AM,1/22/2014  12:00:00 AM,120,431794,10630358
445847,1/23/2014  12:00:00 AM,1/23/2014  12:00:00 AM,404,404036,10694442
445893,1/23/2014  12:00:00 AM,1/23/2014  12:00:00 AM,238,395085,10667956
445969,1/23/2014  12:00:00 AM,1/23/2014  12:00:00 AM,124,417910,10651966
450119,2/19/2014  12:00:00 AM,2/19/2014  12:00:00 AM,169,437258,10654158
450257,2/19/2014  12:00:00 AM,2/19/2014  12:00:00 AM,180,353959,10706179
450331,2/19/2014  12:00:00 AM,2/19/2014  12:00:00 AM,154,426018,10635944
450440,2/20/2014  12:00:00 AM,2/20/2014  12:00:00 AM,307,373420,10684174
450475,2/20/2014  12:00:00 AM,2/20/2014  12:00:00 AM,212,427200,10638713
453944,3/20/2014  12:00:00 AM,3/20/2014  12:00:00 AM,122,435731,10661600
453952,3/24/2014  12:00:00 AM,3/24/2014  12:00:00 AM,495,431528,10640261
453981,3/24/2014  12:00:00 AM,3/24/2014  12:00:00 AM,390,404946,10686839
454157,3/20/2014  12:00:00 AM,3/20/2014  12:00:00 AM,890,362915,10693482
454158,3/24/2014  12:00:00 AM,3/24/2014  12:00:00 AM,605,432001,10655292
454165,3/24/2014  12:00:00 AM,3/24/2014  12:00:00 AM,586,365097,10695427
454167,3/24/2014  12:00:00 AM,3/24/2014  12:00:00 AM,358,425017,10659919
454202,3/25/2014  12:00:00 AM,3/25/2014  12:00:00 AM,327,425017,10659919
454230,3/25/2014  12:00:00 AM,3/25/2014  12:00:00 AM,152,436594,10650890
454254,3/25/2014  12:00:00 AM,3/25/2014  12:00:00 AM,380,404581,10691576
454392,3/25/2014  12:00:00 AM,3/25/2014  12:00:00 AM,178,429234,10638167
454431,3/25/2014  12:00:00 AM,3/25/2014  12:00:00 AM,54,354236,10704335
454435,3/25/2014  12:00:00 AM,3/25/2014  12:00:00 AM,98,374446,10690034
458546,4/16/2014  12:00:00 AM,4/16/2014  12:00:00 AM,143,444439,10641184
458557,4/16/2014  12:00:00 AM,4/16/2014  12:00:00 AM,675,418753,10663828
458575,4/16/2014  12:00:00 AM,4/16/2014  12:00:00 AM,30,429444,10657426
458819,4/17/2014  12:00:00 AM,4/17/2014  12:00:00 AM,400,404466,10693290
458833,4/16/2014  12:00:00 AM,4/16/2014  12:00:00 AM,160,393266,10666235
458874,4/17/2014  12:00:00 AM,4/17/2014  12:00:00 AM,100,393266,10666235
458921,4/15/2014  12:00:00 AM,4/15/2014  12:00:00 AM,158,420510,10650004
458938,4/16/2014  12:00:00 AM,4/16/2014  12:00:00 AM,228,429928,10631436
458944,4/16/2014  12:00:00 AM,4/16/2014  12:00:00 AM,200,436503,10642320
458967,4/15/2014  12:00:00 AM,4/15/2014  12:00:00 AM,100,420999,10642234
458983,4/17/2014  12:00:00 AM,4/17/2014  12:00:00 AM,152,430982,10630120
459057,4/16/2014  12:00:00 AM,4/16/2014  12:00:00 AM,287,375156,10672401
459060,4/16/2014  12:00:00 AM,4/16/2014  12:00:00 AM,277,364117,10683093
459081,4/17/2014  12:00:00 AM,4/17/2014  12:00:00 AM,252,438948,10652800
459084,4/17/2014  12:00:00 AM,4/17/2014  12:00:00 AM,126,429444,10657426
459104,4/21/2014  12:00:00 AM,4/21/2014  12:00:00 AM,160,394241,10657443
459108,4/21/2014  12:00:00 AM,4/21/2014  12:00:00 AM,173,429691,10657180
459111,4/21/2014  12:00:00 AM,4/21/2014  12:00:00 AM,99,439445,10642974
463732,5/20/2014  12:00:00 AM,5/20/2014  12:00:00 AM,980,343913,10700132
463734,5/20/2014  12:00:00 AM,5/20/2014  12:00:00 AM,289,379882,10667792
463783,5/21/2014  12:00:00 AM,5/21/2014  12:00:00 AM,456,355367,10698920
463793,5/22/2014  12:00:00 AM,5/22/2014  12:00:00 AM,150,392686,10673916
463797,5/21/2014  12:00:00 AM,5/21/2014  12:00:00 AM,176,379882,10667792
463923,5/22/2014  12:00:00 AM,5/22/2014  12:00:00 AM,224,431234,10638485
463968,5/27/2014  12:00:00 AM,5/27/2014  12:00:00 AM,160,393168,10670086
463969,5/27/2014  12:00:00 AM,5/27/2014  12:00:00 AM,195,407336,10700972
463995,5/27/2014  12:00:00 AM,5/27/2014  12:00:00 AM,290,444178,10640587
464204,5/22/2014  12:00:00 AM,5/22/2014  12:00:00 AM,434,380436,10666374
464206,5/22/2014  12:00:00 AM,5/22/2014  12:00:00 AM,229,379919,10668465
464238,5/27/2014  12:00:00 AM,5/27/2014  12:00:00 AM,"2,385.00",435418,10629009
464246,5/27/2014  12:00:00 AM,5/27/2014  12:00:00 AM,250,427745,10642453
468441,6/25/2014  12:00:00 AM,6/25/2014  12:00:00 AM,310,406049,10694842
468446,6/25/2014  12:00:00 AM,6/25/2014  12:00:00 AM,103,436312,10658678
468449,6/25/2014  12:00:00 AM,6/25/2014  12:00:00 AM,600,446035,10658540
468489,6/25/2014  12:00:00 AM,6/25/2014  12:00:00 AM,200,392157,10673289
468512,6/25/2014  12:00:00 AM,6/25/2014  12:00:00 AM,224,424129,10646511
468530,6/25/2014  12:00:00 AM,6/25/2014  12:00:00 AM,,428373,10638820
468610,6/16/2014  12:00:00 AM,6/16/2014  12:00:00 AM,215,387787,10653681
468616,6/16/2014  12:00:00 AM,6/16/2014  12:00:00 AM,56,388231,10653975
468623,6/17/2014  12:00:00 AM,6/17/2014  12:00:00 AM,227,387614,10653696
468626,6/17/2014  12:00:00 AM,6/17/2014  12:00:00 AM,170,386848,10653401
468629,6/17/2014  12:00:00 AM,6/17/2014  12:00:00 AM,134,387657,10653505
468715,6/26/2014  12:00:00 AM,6/26/2014  12:00:00 AM,141,422932,10639119
468728,6/26/2014  12:00:00 AM,6/26/2014  12:00:00 AM,315,405611,10693357
468737,6/19/2014  12:00:00 AM,6/19/2014  12:00:00 AM,42,353336,10694922
468764,6/26/2014  12:00:00 AM,6/26/2014  12:00:00 AM,198,405576,10657194
468785,6/26/2014  12:00:00 AM,6/26/2014  12:00:00 AM,115,448809,10663438
468786,6/26/2014  12:00:00 AM,6/26/2014  12:00:00 AM,780,446035,10658540
468916,6/23/2014  12:00:00 AM,6/23/2014  12:00:00 AM,265,378793,10670486
468943,6/24/2014  12:00:00 AM,6/24/2014  12:00:00 AM,301,363689,10678190
468945,6/30/2014  12:00:00 AM,6/30/2014  12:00:00 AM,110,447554,10662258
468947,6/30/2014  12:00:00 AM,6/30/2014  12:00:00 AM,139,440092,10652122
472517,7/28/2014  12:00:00 AM,7/28/2014  12:00:00 AM,160,400538,10668597
472605,7/24/2014  12:00:00 AM,7/24/2014  12:00:00 AM,230,355336,10687036
472606,7/24/2014  12:00:00 AM,7/24/2014  12:00:00 AM,188,426606,10633037
472607,7/28/2014  12:00:00 AM,7/28/2014  12:00:00 AM,226,351253,10683293
472612,7/24/2014  12:00:00 AM,7/24/2014  12:00:00 AM,385,426661,10633186
472675,7/28/2014  12:00:00 AM,7/28/2014  12:00:00 AM,401,431856,10633010
472940,7/22/2014  12:00:00 AM,7/22/2014  12:00:00 AM,457,450614,10639632
477055,8/28/2014  12:00:00 AM,8/28/2014  12:00:00 AM,117,352611,10685436
477056,8/28/2014  12:00:00 AM,8/28/2014  12:00:00 AM,108,365753,10691259
477064,8/29/2014  12:00:00 AM,8/29/2014  12:00:00 AM,140,399955,10666294
477066,8/29/2014  12:00:00 AM,8/29/2014  12:00:00 AM,80,401737,10666673
477074,8/29/2014  12:00:00 AM,8/29/2014  12:00:00 AM,276,386329,10661106
477082,8/29/2014  12:00:00 AM,8/29/2014  12:00:00 AM,137,384232,10655258
477093,8/29/2014  12:00:00 AM,8/29/2014  12:00:00 AM,419,360946,10690391
477096,8/30/2014  12:00:00 AM,8/30/2014  12:00:00 AM,"2,789.00",345873,10696612
477130,9/2/2014  12:00:00 AM,9/2/2014  12:00:00 AM,137,434732,10656172
477142,9/2/2014  12:00:00 AM,9/2/2014  12:00:00 AM,179,394095,10675282
477170,8/29/2014  12:00:00 AM,8/29/2014  12:00:00 AM,246,426914,10667266
477177,9/2/2014  12:00:00 AM,9/2/2014  12:00:00 AM,275,426155,10639164
477288,9/3/2014  12:00:00 AM,9/3/2014  12:00:00 AM,62,407143,10714372
477329,9/3/2014  12:00:00 AM,9/3/2014  12:00:00 AM,158,393468,10660499
477439,9/4/2014  12:00:00 AM,9/4/2014  12:00:00 AM,46,400284,10686234
477462,9/4/2014  12:00:00 AM,9/4/2014  12:00:00 AM,160,403291,10662990
477495,9/2/2014  12:00:00 AM,9/2/2014  12:00:00 AM,18,367344,10678362
482796,10/8/2014  12:00:00 AM,10/8/2014  12:00:00 AM,193,420510,10650128
482930,10/9/2014  12:00:00 AM,10/9/2014  12:00:00 AM,122,398426,10664625
482947,10/9/2014  12:00:00 AM,10/9/2014  12:00:00 AM,110,408456,10707020
483016,10/8/2014  12:00:00 AM,10/8/2014  12:00:00 AM,162,356322,10689524
483020,10/8/2014  12:00:00 AM,10/8/2014  12:00:00 AM,127,352110,10688966
483033,10/8/2014  12:00:00 AM,10/8/2014  12:00:00 AM,"1,200.00",354175,10695045
483113,10/9/2014  12:00:00 AM,10/9/2014  12:00:00 AM,184,430319,10654729
483153,10/13/2014  12:00:00 AM,10/13/2014  12:00:00 AM,12,406722,10719999
